query,name,description,types,id,status,word_count
Croutons,Crouton,Food,['Thing'],kg:/m/0233qc,succeed,one word
Muffins,Muffin,,['Thing'],kg:/m/01tcjp,succeed,one word
Sauerkraut,Sauerkraut,,['Thing'],kg:/m/018dzj,succeed,one word
Neese's,"Neese's Sausage Co., Inc.",,"['Organization', 'Thing', 'Corporation']",kg:/g/11f01dxfxy,succeed,one word
Bologna,Bologna,City in Italy,"['Place', 'AdministrativeArea', 'Thing', 'City']",kg:/m/096g3,succeed,one word
Rituals,Ritual,"Song by Jonas Blue, Rita Ora, and Tiësto",['Thing'],kg:/g/11h1m6688k,succeed,one word
Swad,Swaddling,,['Thing'],kg:/m/068n_l,succeed,one word
Augusta's,WYNF,Radio station,"['Thing', 'BroadcastChannel', 'RadioStation']",kg:/m/03h400q,succeed,one word
Twofold,Twofold Bay,,"['Place', 'Thing', 'LakeBodyOfWater', 'TouristAttraction', 'BodyOfWater']",kg:/m/0csqt6,succeed,one word
H,H,,['Thing'],kg:/m/03hv7,succeed,one word
Cheesecake,Cheesecake,Sweet,['Thing'],kg:/m/02mg4z,succeed,one word
Chicken,Chicken,Birds,['Thing'],kg:/m/09b5t,succeed,one word
Parade,Parade,,['Thing'],kg:/m/063r3,succeed,one word
Pistachios,Pistachio,Food,['Thing'],kg:/m/0b3lj,succeed,one word
Herdez,Grupo Herdez,Company,"['Thing', 'Organization', 'Corporation']",kg:/g/11b6jk2m_p,succeed,one word
Raisins,Raisin,Grape,['Thing'],kg:/m/0syzv,succeed,one word
Gloria,Gloria,Magazine,"['Periodical', 'Thing']",kg:/m/0j24p27,succeed,one word
Weav,Artificial hair integrations,,['Thing'],kg:/m/07fnvh,succeed,one word
All,Jurassic Park,1993 film,"['Movie', 'CreativeWork', 'Thing']",kg:/m/0hx4y,succeed,one word
Assi,Assignment,,['Thing'],kg:/g/120phs7w,succeed,one word
Omega,Omega,,['Thing'],kg:/m/05nq2,succeed,one word
Almonds,Chocolate-covered almonds,,['Thing'],kg:/m/0m0g_2c,succeed,one word
Redi,Cyanocobalamin,Medication,['Thing'],kg:/m/03d6_gm,succeed,one word
Sauce,Alcoholic drink,,['Thing'],kg:/m/012mj,succeed,one word
Lentils,Lentil,Legume,['Thing'],kg:/m/017kh0,succeed,one word
Burman's,"Burman's Medical Supplies, Inc.",,"['Thing', 'Organization']",kg:/g/11g9n14rjf,succeed,one word
Crunchies,Wheat Crunchies,,"['Thing', 'Brand']",kg:/m/076w6tl,succeed,one word
Weis,Weisswurst,,['Thing'],kg:/m/02pcnz,succeed,one word
Capricorn,Capricorn,Astrological sign,['Thing'],kg:/m/0c132q,succeed,one word
Cadia,Cadia,,['Thing'],kg:/g/11gh_g26cq,succeed,one word
Musette,Musette de cour,Musical instrument,['Thing'],kg:/m/0c2nxw,succeed,one word
Cadbury,Cadbury,Company,"['Organization', 'Corporation', 'Thing']",kg:/m/0f7n6,succeed,one word
Cains,Cains Advocates Limited,Law firm,"['Thing', 'Organization', 'Corporation']",kg:/m/0z43tx9,succeed,one word
Patties,Saint Patrick's Day,Celebration,['Thing'],kg:/m/016s_l,succeed,one word
Dole,Unemployment benefits,,"['Thing', 'GovernmentService']",kg:/m/0218w7,succeed,one word
Non,Name,,['Thing'],kg:/m/015vq3,succeed,one word
Furmano's,"Furman Foods, Inc.",Company,"['Thing', 'Organization', 'Corporation']",kg:/g/1dv81pzk,succeed,one word
Sortasausage,,,,,succeed,one word
Bagels,Bagel,Bread,['Thing'],kg:/m/01fb_0,succeed,one word
Bacon,Bacon,,['Thing'],kg:/m/0h0xm,succeed,one word
Burritos,Burrito,Dish,['Thing'],kg:/m/01j3zr,succeed,one word
Welch's,Welch's,Company,"['Thing', 'Corporation', 'Organization']",kg:/m/051c9z,succeed,one word
